----------------
running with CPU
----------------
input file data/input/toyDetector_1000.csv
output file data/output/toyDetector_1000_3_5_5_8.csv
Start to load input points
Finished loading input points
Start to run CLUE algorithm
--- prepareDataStructures:     9.52352 ms
--- calculateLocalDensity:     21.3303 ms
--- calculateDistanceToHigher: 25.6123 ms
--- findSeedAndFollowers:      6.80273 ms
--- assignClusters:            0.662392 ms
Elapsed time: 90.5258 ms
--- prepareDataStructures:     7.00016 ms
--- calculateLocalDensity:     20.2574 ms
--- calculateDistanceToHigher: 25.4157 ms
--- findSeedAndFollowers:      5.25423 ms
--- assignClusters:            0.552906 ms
Elapsed time: 65.9352 ms
--- prepareDataStructures:     6.98914 ms
--- calculateLocalDensity:     20.0599 ms
--- calculateDistanceToHigher: 25.3428 ms
--- findSeedAndFollowers:      5.24578 ms
--- assignClusters:            0.565097 ms
Elapsed time: 65.7107 ms
--- prepareDataStructures:     7.01155 ms
--- calculateLocalDensity:     20.1424 ms
--- calculateDistanceToHigher: 25.3882 ms
--- findSeedAndFollowers:      5.24963 ms
--- assignClusters:            0.555291 ms
Elapsed time: 65.8449 ms
--- prepareDataStructures:     6.99219 ms
--- calculateLocalDensity:     20.1149 ms
--- calculateDistanceToHigher: 25.3386 ms
--- findSeedAndFollowers:      5.25485 ms
--- assignClusters:            0.541184 ms
Elapsed time: 65.6992 ms
--- prepareDataStructures:     6.97273 ms
--- calculateLocalDensity:     20.1142 ms
--- calculateDistanceToHigher: 25.2905 ms
--- findSeedAndFollowers:      5.2478 ms
--- assignClusters:            0.543122 ms
Elapsed time: 65.658 ms
--- prepareDataStructures:     6.99815 ms
--- calculateLocalDensity:     20.0443 ms
--- calculateDistanceToHigher: 25.3452 ms
--- findSeedAndFollowers:      5.22584 ms
--- assignClusters:            0.551369 ms
Elapsed time: 65.6531 ms
--- prepareDataStructures:     7.01119 ms
--- calculateLocalDensity:     20.1145 ms
--- calculateDistanceToHigher: 25.482 ms
--- findSeedAndFollowers:      5.27675 ms
--- assignClusters:            0.550446 ms
Elapsed time: 65.9239 ms
--- prepareDataStructures:     6.99514 ms
--- calculateLocalDensity:     20.2114 ms
--- calculateDistanceToHigher: 25.3041 ms
--- findSeedAndFollowers:      5.24503 ms
--- assignClusters:            0.551567 ms
Elapsed time: 65.7926 ms
--- prepareDataStructures:     7.02844 ms
--- calculateLocalDensity:     19.4633 ms
--- calculateDistanceToHigher: 22.4998 ms
--- findSeedAndFollowers:      4.46708 ms
--- assignClusters:            0.473281 ms
Elapsed time: 60.7948 ms
--- prepareDataStructures:     5.64905 ms
--- calculateLocalDensity:     15.7045 ms
--- calculateDistanceToHigher: 19.4318 ms
--- findSeedAndFollowers:      3.84034 ms
--- assignClusters:            0.424496 ms
Elapsed time: 51.0254 ms
--- prepareDataStructures:     5.12954 ms
--- calculateLocalDensity:     14.7596 ms
--- calculateDistanceToHigher: 18.7562 ms
--- findSeedAndFollowers:      3.84778 ms
--- assignClusters:            0.425703 ms
Elapsed time: 48.6496 ms
--- prepareDataStructures:     5.13012 ms
--- calculateLocalDensity:     15.0227 ms
--- calculateDistanceToHigher: 18.8399 ms
--- findSeedAndFollowers:      3.92388 ms
--- assignClusters:            0.425782 ms
Elapsed time: 49.1377 ms
--- prepareDataStructures:     5.15635 ms
--- calculateLocalDensity:     14.895 ms
--- calculateDistanceToHigher: 18.7087 ms
--- findSeedAndFollowers:      3.86007 ms
--- assignClusters:            0.417264 ms
Elapsed time: 48.7407 ms
--- prepareDataStructures:     5.11007 ms
--- calculateLocalDensity:     14.7567 ms
--- calculateDistanceToHigher: 18.5559 ms
--- findSeedAndFollowers:      3.83179 ms
--- assignClusters:            0.419879 ms
Elapsed time: 48.3691 ms
--- prepareDataStructures:     5.13766 ms
--- calculateLocalDensity:     14.9666 ms
--- calculateDistanceToHigher: 18.6993 ms
--- findSeedAndFollowers:      3.83667 ms
--- assignClusters:            0.413858 ms
Elapsed time: 48.7851 ms
--- prepareDataStructures:     5.14792 ms
--- calculateLocalDensity:     15.0767 ms
--- calculateDistanceToHigher: 18.7162 ms
--- findSeedAndFollowers:      3.85328 ms
--- assignClusters:            0.414655 ms
Elapsed time: 48.9065 ms
--- prepareDataStructures:     5.16699 ms
--- calculateLocalDensity:     14.8136 ms
--- calculateDistanceToHigher: 18.6774 ms
--- findSeedAndFollowers:      3.85322 ms
--- assignClusters:            0.426539 ms
Elapsed time: 48.7344 ms
--- prepareDataStructures:     5.16267 ms
--- calculateLocalDensity:     14.917 ms
--- calculateDistanceToHigher: 18.7657 ms
--- findSeedAndFollowers:      3.84203 ms
--- assignClusters:            0.427088 ms
Elapsed time: 48.8457 ms
--- prepareDataStructures:     5.17018 ms
